date,time,datetime,id,minutes
8/20/15,8:15 pm,2015-08-20T20:15:00,1116,10
8/21/15,5:40 am,2015-08-21T05:40:00,1704,3
8/21/15,6:55 am,2015-08-21T06:55:00,293,0
8/21/15,2:40 pm,2015-08-21T14:40:00,2001,7
8/21/15,7:45 pm,2015-08-21T19:45:00,1123,9
8/23/15,8:50 am,2015-08-23T08:50:00,1719,10
8/24/15,6:35 am,2015-08-24T06:35:00,1524,10
8/24/15,6:35 am,2015-08-24T06:35:00,1524,6
8/24/15,7:00 am,2015-08-24T07:00:00,2025,15
8/24/15,7:48 am,2015-08-24T07:48:00,1706,15
8/24/15,1:35 pm,2015-08-24T13:35:00,2007,42
8/24/15,1:35 pm,2015-08-24T13:35:00,2007,42
8/24/15,3:40 pm,2015-08-24T15:40:00,2037,18
8/24/15,3:40 pm,2015-08-24T15:40:00,2037,18
8/25/15,9:40 am,2015-08-25T09:40:00,1072,7
8/25/15,2:11 pm,2015-08-25T14:11:00,1713,6
8/25/15,2:11 pm,2015-08-25T14:11:00,1713,6
8/25/15,2:11 pm,2015-08-25T14:11:00,2037,15
8/25/15,2:11 pm,2015-08-25T14:11:00,2037,15
8/25/15,5:12 pm,2015-08-25T17:12:00,2030,37
8/25/15,6:52 pm,2015-08-25T18:52:00,2037,15
8/25/15,6:52 pm,2015-08-25T18:52:00,2037,15
8/26/15,7:15 am,2015-08-26T07:15:00,2029,15
8/26/15,7:15 am,2015-08-26T07:15:00,2029,15
8/26/15,7:46 am,2015-08-26T07:46:00,1066,27
8/26/15,11:03 am,2015-08-26T11:03:00,2033,6
8/26/15,11:03 am,2015-08-26T11:03:00,2033,6
8/26/15,3:47 pm,2015-08-26T15:47:00,1057,12
8/27/15,5:49 pm,2015-08-27T17:49:00,2035,30
8/27/15,5:49 pm,2015-08-27T17:49:00,2035,30
8/27/15,5:49 pm,2015-08-27T17:49:00,2035,15
8/27/15,5:49 pm,2015-08-27T17:49:00,2035,15
8/28/15,5:15 am,2015-08-28T05:15:00,2028,23
8/28/15,5:50 am,2015-08-28T05:50:00,2010,23
